content,score,at,case_folding,cleansing,tokenizing,stopword_removal,stemming,hasil_preprocessing
"AWAS JEBAKAN ASURANSI. Kalau mau Jual Asuransi jangan dibuat Auto Beli dong. kalau kita lengah, buru-buru, jadi otomatis beli asuransi.",1,2025-03-29 00:44:58,"awas jebakan asuransi. kalau mau jual asuransi jangan dibuat auto beli dong. kalau kita lengah, buru-buru, jadi otomatis beli asuransi.",awas jebakan asuransi kalau mau jual asuransi jangan dibuat auto beli dong kalau kita lengah buru buru jadi otomatis beli asuransi,"['awas', 'jebakan', 'asuransi', 'kalau', 'mau', 'jual', 'asuransi', 'jangan', 'dibuat', 'auto', 'beli', 'dong', 'kalau', 'kita', 'lengah', 'buru', 'buru', 'jadi', 'otomatis', 'beli', 'asuransi']","['awas', 'jebakan', 'asuransi', 'kalau', 'mau', 'jual', 'asuransi', 'jangan', 'dibuat', 'auto', 'beli', 'dong', 'kalau', 'lengah', 'buru', 'buru', 'jadi', 'otomatis', 'beli', 'asuransi']","['awas', 'jebak', 'asuransi', 'kalau', 'mau', 'jual', 'asuransi', 'jangan', 'buat', 'auto', 'beli', 'dong', 'kalau', 'lengah', 'buru', 'buru', 'jadi', 'otomatis', 'beli', 'asuransi']",awas jebak asuransi kalau mau jual asuransi jangan buat auto beli dong kalau lengah buru buru jadi otomatis beli asuransi
good,5,2025-03-29 00:28:03,good,good,['good'],['good'],['good'],good
mantap tiketnya murah bangett,5,2025-03-28 21:07:27,mantap tiketnya murah bangett,mantap tiketnya murah bangett,"['mantap', 'tiketnya', 'murah', 'bangett']","['mantap', 'tiketnya', 'murah', 'bangett']","['mantap', 'tiket', 'murah', 'bangett']",mantap tiket murah bangett
sangat mudah digunakan tapi sayang foto hotelnya kurang,5,2025-03-28 18:20:36,sangat mudah digunakan tapi sayang foto hotelnya kurang,sangat mudah digunakan tapi sayang foto hotelnya kurang,"['sangat', 'mudah', 'digunakan', 'tapi', 'sayang', 'foto', 'hotelnya', 'kurang']","['sangat', 'mudah', 'digunakan', 'sayang', 'foto', 'hotelnya', 'kurang']","['sangat', 'mudah', 'guna', 'sayang', 'foto', 'hotel', 'kurang']",sangat mudah guna sayang foto hotel kurang
mantap,5,2025-03-28 15:00:25,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
saya beli tiket dari medan ke denpasar transit di Jakarta eeeh dari Jakarta ke denpasar gk bisa tiket ya kesel banget mana besok ya udah Nyepi di Bali,1,2025-03-28 11:55:43,saya beli tiket dari medan ke denpasar transit di jakarta eeeh dari jakarta ke denpasar gk bisa tiket ya kesel banget mana besok ya udah nyepi di bali,saya beli tiket dari medan ke denpasar transit di jakarta eeeh dari jakarta ke denpasar gk bisa tiket ya kesel banget mana besok ya udah nyepi di bali,"['saya', 'beli', 'tiket', 'dari', 'medan', 'ke', 'denpasar', 'transit', 'di', 'jakarta', 'eeeh', 'dari', 'jakarta', 'ke', 'denpasar', 'gk', 'bisa', 'tiket', 'ya', 'kesel', 'banget', 'mana', 'besok', 'ya', 'udah', 'nyepi', 'di', 'bali']","['beli', 'tiket', 'medan', 'denpasar', 'transit', 'jakarta', 'eeeh', 'jakarta', 'denpasar', 'gk', 'tiket', 'kesel', 'banget', 'mana', 'besok', 'udah', 'nyepi', 'bali']","['beli', 'tiket', 'medan', 'denpasar', 'transit', 'jakarta', 'eeeh', 'jakarta', 'denpasar', 'gk', 'tiket', 'kesel', 'banget', 'mana', 'besok', 'udah', 'nyepi', 'bal']",beli tiket medan denpasar transit jakarta eeeh jakarta denpasar gk tiket kesel banget mana besok udah nyepi bal
"harga tiket berubah, sebelumnya harga tiket 2,5 JT setelah saya ingin melakukan pembayaran berubah menjadi 3,6 JT dan setelah melakukan pembayaran ada masalah penerbitan etiket, sudah menunggu 12 jam masih belum ada kepastian",1,2025-03-28 11:19:40,"harga tiket berubah, sebelumnya harga tiket 2,5 jt setelah saya ingin melakukan pembayaran berubah menjadi 3,6 jt dan setelah melakukan pembayaran ada masalah penerbitan etiket, sudah menunggu 12 jam masih belum ada kepastian",harga tiket berubah sebelumnya harga tiket jt setelah saya ingin melakukan pembayaran berubah menjadi jt dan setelah melakukan pembayaran ada masalah penerbitan etiket sudah menunggu jam masih belum ada kepastian,"['harga', 'tiket', 'berubah', 'sebelumnya', 'harga', 'tiket', 'jt', 'setelah', 'saya', 'ingin', 'melakukan', 'pembayaran', 'berubah', 'menjadi', 'jt', 'dan', 'setelah', 'melakukan', 'pembayaran', 'ada', 'masalah', 'penerbitan', 'etiket', 'sudah', 'menunggu', 'jam', 'masih', 'belum', 'ada', 'kepastian']","['harga', 'tiket', 'berubah', 'sebelumnya', 'harga', 'tiket', 'jt', 'melakukan', 'pembayaran', 'berubah', 'menjadi', 'jt', 'melakukan', 'pembayaran', 'masalah', 'penerbitan', 'etiket', 'menunggu', 'jam', 'kepastian']","['harga', 'tiket', 'ubah', 'belum', 'harga', 'tiket', 'jt', 'laku', 'bayar', 'ubah', 'jadi', 'jt', 'laku', 'bayar', 'masalah', 'terbit', 'etiket', 'tunggu', 'jam', 'pasti']",harga tiket ubah belum harga tiket jt laku bayar ubah jadi jt laku bayar masalah terbit etiket tunggu jam pasti
bagus,5,2025-03-28 11:18:35,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
semua kebutuhan traveler tersedia,4,2025-03-28 09:46:06,semua kebutuhan traveler tersedia,semua kebutuhan traveler tersedia,"['semua', 'kebutuhan', 'traveler', 'tersedia']","['semua', 'kebutuhan', 'traveler', 'tersedia']","['semua', 'butuh', 'traveler', 'sedia']",semua butuh traveler sedia
apps bagus bgt,5,2025-03-28 08:57:29,apps bagus bgt,apps bagus bgt,"['apps', 'bagus', 'bgt']","['apps', 'bagus', 'bgt']","['apps', 'bagus', 'bgt']",apps bagus bgt
aplikasi yg sangat membantu bagi saya utk bepergian,5,2025-03-28 08:11:10,aplikasi yg sangat membantu bagi saya utk bepergian,aplikasi yg sangat membantu bagi saya utk bepergian,"['aplikasi', 'yg', 'sangat', 'membantu', 'bagi', 'saya', 'utk', 'bepergian']","['aplikasi', 'yg', 'sangat', 'membantu', 'utk', 'bepergian']","['aplikasi', 'yg', 'sangat', 'bantu', 'utk', 'pergi']",aplikasi yg sangat bantu utk pergi
apapun yang terjadi kalo mau pesen tiket bus di app ini jangan sampai pesan tiket bus dengan nama PO waffa holiday anda bakalan nyesel,1,2025-03-28 01:54:57,apapun yang terjadi kalo mau pesen tiket bus di app ini jangan sampai pesan tiket bus dengan nama po waffa holiday anda bakalan nyesel,apapun yang terjadi kalo mau pesen tiket bus di app ini jangan sampai pesan tiket bus dengan nama po waffa holiday anda bakalan nyesel,"['apapun', 'yang', 'terjadi', 'kalo', 'mau', 'pesen', 'tiket', 'bus', 'di', 'app', 'ini', 'jangan', 'sampai', 'pesan', 'tiket', 'bus', 'dengan', 'nama', 'po', 'waffa', 'holiday', 'anda', 'bakalan', 'nyesel']","['apapun', 'terjadi', 'kalo', 'mau', 'pesen', 'tiket', 'bus', 'app', 'jangan', 'pesan', 'tiket', 'bus', 'nama', 'po', 'waffa', 'holiday', 'bakalan', 'nyesel']","['apa', 'jadi', 'kalo', 'mau', 'sen', 'tiket', 'bus', 'app', 'jangan', 'pesan', 'tiket', 'bus', 'nama', 'po', 'waffa', 'holiday', 'bakal', 'nyesel']",apa jadi kalo mau sen tiket bus app jangan pesan tiket bus nama po waffa holiday bakal nyesel
"dirugikan uang 2.500.000 ,mengadakan event via telegram. mau penarikan dana tidak bisa..",1,2025-03-27 23:20:52,"dirugikan uang 2.500.000 ,mengadakan event via telegram. mau penarikan dana tidak bisa..",dirugikan uang mengadakan event via telegram mau penarikan dana tidak bisa,"['dirugikan', 'uang', 'mengadakan', 'event', 'via', 'telegram', 'mau', 'penarikan', 'dana', 'tidak', 'bisa']","['dirugikan', 'uang', 'mengadakan', 'event', 'via', 'telegram', 'mau', 'penarikan', 'dana']","['rugi', 'uang', 'ada', 'event', 'via', 'telegram', 'mau', 'tari', 'dana']",rugi uang ada event via telegram mau tari dana
mudah,5,2025-03-27 22:41:24,mudah,mudah,['mudah'],['mudah'],['mudah'],mudah
tidak ada fituruntuk cek in online,3,2025-03-27 17:22:47,tidak ada fituruntuk cek in online,tidak ada fituruntuk cek in online,"['tidak', 'ada', 'fituruntuk', 'cek', 'in', 'online']","['fituruntuk', 'cek', 'in', 'online']","['fituruntuk', 'cek', 'in', 'online']",fituruntuk cek in online
"terkadang tidak bisa melakukan pembayaran via indomaret atau alfamart,lalu suka memunculkan pilihan tiket seolah-olah tersedia padahal sudah habis terjual seperti terkesan di prank, seharusnya jika memang tiket sudah habis terjual tidak perlu ditampilkan.",1,2025-03-27 16:57:42,"terkadang tidak bisa melakukan pembayaran via indomaret atau alfamart,lalu suka memunculkan pilihan tiket seolah-olah tersedia padahal sudah habis terjual seperti terkesan di prank, seharusnya jika memang tiket sudah habis terjual tidak perlu ditampilkan.",terkadang tidak bisa melakukan pembayaran via indomaret atau alfamart lalu suka memunculkan pilihan tiket seolah olah tersedia padahal sudah habis terjual seperti terkesan di prank seharusnya jika memang tiket sudah habis terjual tidak perlu ditampilkan,"['terkadang', 'tidak', 'bisa', 'melakukan', 'pembayaran', 'via', 'indomaret', 'atau', 'alfamart', 'lalu', 'suka', 'memunculkan', 'pilihan', 'tiket', 'seolah', 'olah', 'tersedia', 'padahal', 'sudah', 'habis', 'terjual', 'seperti', 'terkesan', 'di', 'prank', 'seharusnya', 'jika', 'memang', 'tiket', 'sudah', 'habis', 'terjual', 'tidak', 'perlu', 'ditampilkan']","['terkadang', 'melakukan', 'pembayaran', 'via', 'indomaret', 'alfamart', 'lalu', 'suka', 'memunculkan', 'pilihan', 'tiket', 'olah', 'tersedia', 'padahal', 'habis', 'terjual', 'terkesan', 'prank', 'memang', 'tiket', 'habis', 'terjual', 'perlu', 'ditampilkan']","['terkadang', 'laku', 'bayar', 'via', 'indomaret', 'alfamart', 'lalu', 'suka', 'muncul', 'pilih', 'tiket', 'olah', 'sedia', 'padahal', 'habis', 'jual', 'kes', 'prank', 'memang', 'tiket', 'habis', 'jual', 'perlu', 'tampil']",terkadang laku bayar via indomaret alfamart lalu suka muncul pilih tiket olah sedia padahal habis jual kes prank memang tiket habis jual perlu tampil
ngelek aplikasi masih lelet,1,2025-03-27 15:02:52,ngelek aplikasi masih lelet,ngelek aplikasi masih lelet,"['ngelek', 'aplikasi', 'masih', 'lelet']","['ngelek', 'aplikasi', 'lelet']","['ngelek', 'aplikasi', 'lelet']",ngelek aplikasi lelet
"mudah dan effektif dalam menggunakannya, sehingga kebih efisien, Good Job",5,2025-03-27 09:42:28,"mudah dan effektif dalam menggunakannya, sehingga kebih efisien, good job",mudah dan effektif dalam menggunakannya sehingga kebih efisien good job,"['mudah', 'dan', 'effektif', 'dalam', 'menggunakannya', 'sehingga', 'kebih', 'efisien', 'good', 'job']","['mudah', 'effektif', 'menggunakannya', 'kebih', 'efisien', 'good', 'job']","['mudah', 'effektif', 'guna', 'kebih', 'efisien', 'good', 'job']",mudah effektif guna kebih efisien good job
cukup,3,2025-03-27 07:46:25,cukup,cukup,['cukup'],['cukup'],['cukup'],cukup
"hapus fitur transfer tiket woyyy, banyak calo",1,2025-03-26 23:29:30,"hapus fitur transfer tiket woyyy, banyak calo",hapus fitur transfer tiket woyyy banyak calo,"['hapus', 'fitur', 'transfer', 'tiket', 'woyyy', 'banyak', 'calo']","['hapus', 'fitur', 'transfer', 'tiket', 'woyyy', 'banyak', 'calo']","['hapus', 'fitur', 'transfer', 'tiket', 'woyyy', 'banyak', 'calo']",hapus fitur transfer tiket woyyy banyak calo
Aplikasi penting buay yang suka traveling,5,2025-03-26 21:51:44,aplikasi penting buay yang suka traveling,aplikasi penting buay yang suka traveling,"['aplikasi', 'penting', 'buay', 'yang', 'suka', 'traveling']","['aplikasi', 'penting', 'buay', 'suka', 'traveling']","['aplikasi', 'penting', 'buay', 'suka', 'traveling']",aplikasi penting buay suka traveling
mudah beli tiket bus,5,2025-03-26 16:30:39,mudah beli tiket bus,mudah beli tiket bus,"['mudah', 'beli', 'tiket', 'bus']","['mudah', 'beli', 'tiket', 'bus']","['mudah', 'beli', 'tiket', 'bus']",mudah beli tiket bus
murah,5,2025-03-26 16:11:56,murah,murah,['murah'],['murah'],['murah'],murah
